Breakdown,Value,ticker
zip,6159,TKM.AX
sector,Basic Materials,TKM.AX
longBusinessSummary,"Trek Metals Limited engages in the exploration and development of mineral properties in Africa and Australia. The company explores for zinc, lead, and gold deposits. It holds 100% interest in the Pincunah and Jimblebar gold and base metal projects covering an area of approximately 267 square kilometers located in the Pilbara region. The company was formerly known as Zambezi Resources Limited and changed its name to Trek Metals Limited in January 2017. Trek Metals Limited was incorporated in 2007 and is based in North Fremantle, Australia.",TKM.AX
city,North Fremantle,TKM.AX
phone,61 8 6215 0371,TKM.AX
state,WA,TKM.AX
compensationAsOfEpochDate,1640908800,TKM.AX
country,Australia,TKM.AX
website,https://trekmetals.com.au,TKM.AX
maxAge,86400,TKM.AX
address1,130 Stirling Highway,TKM.AX
industry,Other Industrial Metals & Mining,TKM.AX
