Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,2018-06-30 00:00:00,ticker
intangibleAssets,19000.0,47000.0,55000.0,24000.0,TLM.AX
totalLiab,304000.0,521000.0,10140000.0,27404000.0,TLM.AX
totalStockholderEquity,11162000.0,13252000.0,17353000.0,11644000.0,TLM.AX
otherCurrentLiab,41000.0,51000.0,9220000.0,17827000.0,TLM.AX
totalAssets,11466000.0,13773000.0,27493000.0,39048000.0,TLM.AX
commonStock,31966000.0,31966000.0,31866000.0,60882000.0,TLM.AX
retainedEarnings,-21450000.0,-19479000.0,-14753000.0,-50917000.0,TLM.AX
treasuryStock,646000.0,765000.0,240000.0,1679000.0,TLM.AX
otherAssets,13000.0,120000.0,120000.0,179000.0,TLM.AX
cash,9900000.0,12937000.0,10591000.0,470000.0,TLM.AX
totalCurrentLiabilities,304000.0,521000.0,10140000.0,18612000.0,TLM.AX
otherStockholderEquity,646000.0,765000.0,240000.0,1679000.0,TLM.AX
propertyPlantEquipment,201000.0,364000.0,334000.0,16772000.0,TLM.AX
totalCurrentAssets,11233000.0,13242000.0,26984000.0,22073000.0,TLM.AX
netTangibleAssets,11143000.0,13205000.0,17298000.0,11620000.0,TLM.AX
netReceivables,1317000.0,234000.0,178000.0,199000.0,TLM.AX
accountsPayable,210000.0,202000.0,696000.0,482000.0,TLM.AX
otherCurrentAssets,,,16123000.0,21350000.0,TLM.AX
otherLiab,,,,8792000.0,TLM.AX
