Breakdown,Value,ticker
zip,6000,TMR.AX
sector,Basic Materials,TMR.AX
longBusinessSummary,"Tempus Resources Limited engages in the development, exploration, and extraction of copper and other mineral deposits in Australia, Canada, and Ecuador. Its flagship property is 100% owned Blackdome-Elizabeth Gold project located in Southern British Columbia, Canada. The company also holds interests in the Rio Zarza and Valle del Tigre projects located in southeast Ecuador. Tempus Resources Limited was incorporated in 2018 and is based in Perth, Australia.",TMR.AX
city,Perth,TMR.AX
phone,61 8 6188 8181,TMR.AX
state,WA,TMR.AX
compensationAsOfEpochDate,1640908800,TMR.AX
country,Australia,TMR.AX
website,https://www.tempusresources.com.au,TMR.AX
maxAge,86400,TMR.AX
address1,22 Mount Street,TMR.AX
fax,61 8 6188 8182,TMR.AX
industry,Other Industrial Metals & Mining,TMR.AX
address2,Level 2,TMR.AX
