Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,2018-06-30 00:00:00,ticker
changeToLiabilities,-29659.0,130878.0,-2162.0,1284.0,TMZ.AX
totalCashflowsFromInvestingActivities,-5273520.0,-8632.0,-448184.0,-570555.0,TMZ.AX
totalCashFromFinancingActivities,13213897.0,-2658.0,108116.0,260949.0,TMZ.AX
issuanceOfStock,13808004.0,13808004.0,110000.0,310949.0,TMZ.AX
netIncome,-3469090.0,-462983.0,-1029136.0,665909.0,TMZ.AX
changeInCash,6669027.0,-182352.0,-581874.0,656305.0,TMZ.AX
totalCashFromOperatingActivities,-1271350.0,-171062.0,-241806.0,965911.0,TMZ.AX
depreciation,931677.0,157268.0,693372.0,292889.0,TMZ.AX
otherCashflowsFromInvestingActivities,-1037140.0,60000.0,60000.0,-20000.0,TMZ.AX
changeToAccountReceivables,-27929.0,-3398.0,-2454.0,-2005.0,TMZ.AX
otherCashflowsFromFinancingActivities,-594107.0,-2658.0,-1884.0,-1884.0,TMZ.AX
changeToNetincome,1323651.0,7173.0,98574.0,7834.0,TMZ.AX
capitalExpenditures,-4236380.0,-68632.0,-448184.0,-550555.0,TMZ.AX
netBorrowings,,,,-50000.0,TMZ.AX
