Breakdown,Value,ticker
zip,4006,TNE.AX
sector,Technology,TNE.AX
compensationRisk,6,TNE.AX
auditRisk,1,TNE.AX
longBusinessSummary,"Technology One Limited researches, develops, markets, sells, implements, and supports integrated enterprise business software solutions worldwide. The company operates through Software and Consulting segments. It offers various business solutions, including enterprise asset management, human resource and payroll, financials, enterprise budgeting, supply chain, property and rating, student management, business intelligence, enterprise content management, performance planning, spatial, enterprise cash receipting, stakeholder management, timetabling and scheduling, and business process management. The company serves local government, education, government, health and community services, asset and project intensive, and financial and corporate organizations. Technology One Limited was incorporated in 1983 and is based in Fortitude Valley, Australia.",TNE.AX
city,Fortitude Valley,TNE.AX
phone,61 7 3167 7300,TNE.AX
state,QLD,TNE.AX
shareHolderRightsRisk,7,TNE.AX
compensationAsOfEpochDate,1640908800,TNE.AX
governanceEpochDate,1632614400,TNE.AX
boardRisk,8,TNE.AX
country,Australia,TNE.AX
website,https://www.technologyonecorp.com,TNE.AX
maxAge,86400,TNE.AX
overallRisk,7,TNE.AX
address1,TechnologyOne HQ,TNE.AX
fax,61 7 3167 7301,TNE.AX
industry,Software—Application,TNE.AX
address2,Level 11 540 Wickham Street,TNE.AX
