Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,2018-06-30 00:00:00,ticker
researchDevelopment,,,,,TNG.AX
effectOfAccountingCharges,,,,,TNG.AX
incomeBeforeTax,-2905000,-2885000,-3090000,-3329000,TNG.AX
minorityInterest,,,,,TNG.AX
netIncome,-2905000,-2885000,-3090000,-3329000,TNG.AX
sellingGeneralAdministrative,2930000,3064000,3717000,3505000,TNG.AX
grossProfit,184000,149000,410000,803000,TNG.AX
ebit,-2925000,-3103000,-3357000,-2798000,TNG.AX
operatingIncome,-2925000,-3103000,-3357000,-2798000,TNG.AX
otherOperatingExpenses,,,,,TNG.AX
interestExpense,-13000,-18000,-18000,-18000,TNG.AX
extraordinaryItems,,,,,TNG.AX
nonRecurring,,,,,TNG.AX
otherItems,,,,,TNG.AX
incomeTaxExpense,0,0,0,0,TNG.AX
totalRevenue,184000,149000,410000,803000,TNG.AX
totalOperatingExpenses,3109000,3252000,3767000,3601000,TNG.AX
costOfRevenue,0,0,0,0,TNG.AX
totalOtherIncomeExpenseNet,20000,218000,267000,-531000,TNG.AX
discontinuedOperations,,,,,TNG.AX
netIncomeFromContinuingOps,-2905000,-2885000,-3090000,-3329000,TNG.AX
netIncomeApplicableToCommonShares,-2905000,-2885000,-3090000,-3329000,TNG.AX
