Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,2018-06-30 00:00:00,ticker
intangibleAssets,1854181.0,2359867.0,,68030.0,TNY.AX
totalLiab,2856935.0,2904129.0,1932809.0,1386704.0,TNY.AX
totalStockholderEquity,7274706.0,8822350.0,659100.0,3592835.0,TNY.AX
deferredLongTermLiab,104840.0,,,,TNY.AX
otherCurrentLiab,930692.0,911696.0,715329.0,549540.0,TNY.AX
totalAssets,10131641.0,11726479.0,2591909.0,4979539.0,TNY.AX
commonStock,22618819.0,22154067.0,13000412.0,12674511.0,TNY.AX
otherCurrentAssets,75625.0,75625.0,116154.0,111385.0,TNY.AX
retainedEarnings,-17094026.0,-14057478.0,-12872386.0,-9420905.0,TNY.AX
otherLiab,257111.0,386949.0,491891.0,336551.0,TNY.AX
goodWill,3726339.0,3726339.0,,,TNY.AX
treasuryStock,1749913.0,725761.0,531074.0,339229.0,TNY.AX
otherAssets,104840.0,,,,TNY.AX
cash,2155365.0,3602480.0,982018.0,4052369.0,TNY.AX
totalCurrentLiabilities,2561081.0,2394194.0,1440918.0,1050153.0,TNY.AX
otherStockholderEquity,1749913.0,725761.0,531074.0,339229.0,TNY.AX
propertyPlantEquipment,131702.0,299390.0,55672.0,95411.0,TNY.AX
totalCurrentAssets,4314579.0,5340883.0,2536237.0,4816098.0,TNY.AX
netTangibleAssets,1694186.0,2736144.0,659100.0,3524805.0,TNY.AX
netReceivables,1865330.0,1475735.0,1283324.0,565486.0,TNY.AX
accountsPayable,295878.0,113060.0,81788.0,113609.0,TNY.AX
