Breakdown,Value,ticker
zip,2000,TNY.AX
sector,Communication Services,TNY.AX
longBusinessSummary,"Tinybeans Group Limited provides mobile and web-based platforms that allow parents to record and share digital data. The company offers Tinybeans, a photo sharing platform that offers parents with a safe space to capture and share their children's life stories with family and friends. It operates in the United States and Australia. The company was founded in 2012 and is based in Sydney, Australia.",TNY.AX
city,Sydney,TNY.AX
phone,61 2 8072 1400,TNY.AX
state,NSW,TNY.AX
compensationAsOfEpochDate,1640908800,TNY.AX
country,Australia,TNY.AX
website,https://www.tinybeans.com,TNY.AX
maxAge,86400,TNY.AX
address1,126 Phillip Street,TNY.AX
fax,61 2 8072 1440,TNY.AX
industry,Internet Content & Information,TNY.AX
address2,Level 5,TNY.AX
