Breakdown,Value,ticker
zip,6005,TPP.AX
sector,Industrials,TPP.AX
longBusinessSummary,"Tempo Australia Limited provides construction, maintenance, and asset management services to the telecommunications, infrastructure, resources, power, renewable energy, industrial, and commercial sectors in Australia. It operates through Asset Maintenance and Service; and Construction & Electrical Project Work segments. The company offers shutdown services; preventative maintenance services, such as switchboard inspections, thermographic scanning, generator servicing, lightning protection, power factor correction, and UPS maintenance; and compliance services, including RCR testing, emergency exit lighting, appliance test and tagging, failure point analysis, auditing, and certification. It also provides planned and reactive maintenance services comprising emergency breakdown, lighting repairs, automation, minor works/small projects, CTV/MATV, and data and communication; and project services to manage electrical, instrumentation, and communication projects. The company was formerly known as Fermiscan Holdings Limited and changed its name to Tempo Australia Limited in June 2012. Tempo Australia Limited was incorporated in 2000 and is based in West Perth, Australia.",TPP.AX
city,West Perth,TPP.AX
phone,61 8 9460 1500,TPP.AX
state,WA,TPP.AX
compensationAsOfEpochDate,1609372800,TPP.AX
country,Australia,TPP.AX
website,https://www.tempoaust.com,TPP.AX
maxAge,86400,TPP.AX
address1,680 George Street,TPP.AX
industry,Electrical Equipment & Parts,TPP.AX
address2,Level 12,TPP.AX
