Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,2018-06-30 00:00:00,ticker
totalLiab,760203.0,315293.0,37882.0,1256731.0,TRN.AX
totalStockholderEquity,7310097.0,145803.0,4980.0,-962075.0,TRN.AX
totalAssets,8070300.0,461096.0,42862.0,294656.0,TRN.AX
commonStock,11272565.0,2003089.0,1780338.0,1749313.0,TRN.AX
otherCurrentAssets,78868.0,11785.0,11746.0,12545.0,TRN.AX
retainedEarnings,-5746149.0,-2660833.0,-2578905.0,-3514935.0,TRN.AX
treasuryStock,1783681.0,803547.0,803547.0,803547.0,TRN.AX
cash,7877350.0,447930.0,21885.0,273100.0,TRN.AX
totalCurrentLiabilities,760203.0,315293.0,37882.0,1256731.0,TRN.AX
otherStockholderEquity,1783681.0,803547.0,803547.0,803547.0,TRN.AX
propertyPlantEquipment,19800.0,,,,TRN.AX
totalCurrentAssets,8050500.0,461096.0,42862.0,294656.0,TRN.AX
netTangibleAssets,7310097.0,145803.0,4980.0,-962075.0,TRN.AX
netReceivables,94282.0,1381.0,9231.0,9011.0,TRN.AX
accountsPayable,741015.0,15293.0,37882.0,39195.0,TRN.AX
