Breakdown,Value,ticker
zip,2010,TTB.AX
sector,Healthcare,TTB.AX
longBusinessSummary,"Total Brain Limited, together with its subsidiaries, develops and sells brain health products in the United States and Australia. It offers Total Brain, a neuroscience-based mental health and brain performance app. The company was formerly known as Brain Resource Limited and changed its name to Total Brain Limited in December 2018. Total Brain Limited was incorporated in 2000 and is based in Surry Hills, Australia.",TTB.AX
city,Surry Hills,TTB.AX
phone,61 2 9213 6666,TTB.AX
state,NSW,TTB.AX
compensationAsOfEpochDate,1640908800,TTB.AX
country,Australia,TTB.AX
website,https://www.totalbrain.com,TTB.AX
maxAge,86400,TTB.AX
address1,15 Belvoir Street,TTB.AX
fax,61 2 9211 2710,TTB.AX
industry,Health Information Services,TTB.AX
