Breakdown,Value,ticker
zip,3000,TWE.AX
sector,Consumer Defensive,TWE.AX
fullTimeEmployees,2600,TWE.AX
compensationRisk,5,TWE.AX
auditRisk,2,TWE.AX
longBusinessSummary,"Treasury Wine Estates Limited operates as a wine company primarily in Australia, New Zealand, Asia, Europe, the Middle East, Africa, and the Americas. It engages in the viticulture and winemaking; and marketing, sale, and distribution of wine. The company's wine portfolio includes luxury, premium and commercial wine brands, such as 19 Crimes, Acacia Vineyard, Annie's Lane, Beaulieu Vineyard, Belcreme de Lys, Beringer Vineyard, Chateau St. Jean, Coldstream Hills, Devil's Lair, EMBRAZEN, Fifth Leg, Heemskerk, Hewitt Vineyard, Etude, Ingoldby, Jamieson's Run, Killawarra, Leo Buring, Lindeman's, Maison de Grand Esprit, Matua, Metala, Penfolds, Pepperjack, Provenance Vineyards, Rawson's Retreat, Rosemount Estate, Run Riot, Saltram, Samuel Wynn & Co, Secret Stone, Seppelt, Shingle Peak, Sledgehammer, Squealing pig, St Huberts, Stags' Leap Winery, Stellina di Notte, Sterling Vineyards, T'Gallant, The Walking Dead Wine, Wolf Blass, Wynns Coonawarra Estate, and Yellowglen. It also provides contract bottling services to third parties. The company owns and leases owns and leases 9,260 planted hectares of vineyards in Australia and New Zealand; and 3,200 planted hectares in California, including the Napa Valley, Sonoma County, Lake County, and Central Coast, as well 166 hectares in Italy and 60 hectares in France. It markets and sells its products to distributors, wholesalers, retails chains, independent retailers, and on-premise outlets, as well as directly to consumers. The company was founded in 1843 and is headquartered in Melbourne, Australia.",TWE.AX
city,Melbourne,TWE.AX
phone,61 3 8533 3000,TWE.AX
state,VIC,TWE.AX
shareHolderRightsRisk,7,TWE.AX
compensationAsOfEpochDate,1640908800,TWE.AX
governanceEpochDate,1643673600,TWE.AX
boardRisk,2,TWE.AX
country,Australia,TWE.AX
website,https://www.tweglobal.com,TWE.AX
maxAge,86400,TWE.AX
overallRisk,3,TWE.AX
address1,161 Collins Street,TWE.AX
fax,61 3 9685 8001,TWE.AX
industry,Beverages—Wineries & Distilleries,TWE.AX
address2,Level 8,TWE.AX
