Breakdown,Value,ticker
zip,2060,UBN.AX
sector,Technology,UBN.AX
fullTimeEmployees,87,UBN.AX
longBusinessSummary,"Urbanise.com Limited, together with its subsidiaries, designs and develops cloud-based software platforms for the strata and facilities management industries in Australia, New Zealand, Asia, Europe, the Middle East, South Africa, and rest of Africa. The company engages in the development and commercialization of intellectual property associated software licensing and consulting services. Its Strata platform manages apartment buildings, strata commercial towers, and housing communities; and Facilities platform manages infrastructure, buildings, residential and commercial properties, housing estates, and local government, as well as assets and workforce management. The company also offers software-as-a-service micro-utility solution. It serves FM service providers, education, utilities, health and aged care, government, property, NDIS, retail, and infrastructure industries. Urbanise.com Limited was founded in 2001 and is based in North Sydney, Australia.",UBN.AX
city,North Sydney,UBN.AX
phone,61 1300 832 852,UBN.AX
state,NSW,UBN.AX
compensationAsOfEpochDate,1640908800,UBN.AX
country,Australia,UBN.AX
website,https://www.urbanise.com,UBN.AX
maxAge,86400,UBN.AX
address1,Suite 1,UBN.AX
industry,Software—Application,UBN.AX
address2,Ground Floor 201 Miller Street,UBN.AX
