Breakdown,2020-12-31 00:00:00,2019-12-31 00:00:00,2018-12-31 00:00:00,2017-12-31 00:00:00,ticker
totalLiab,465305000,370665000,401992000,453534000,UOS.AX
totalStockholderEquity,1520770000,1575105000,1460087000,1253879000,UOS.AX
minorityInterest,773754000,749392000,721417000,634227000,UOS.AX
otherCurrentLiab,60479000,70939000,64420000,45456000,UOS.AX
totalAssets,2759829000,2695162000,2583496000,2341640000,UOS.AX
commonStock,260651000,257475000,222910000,183245000,UOS.AX
otherCurrentAssets,4325000,12104000,20627000,17681000,UOS.AX
retainedEarnings,1294914000,1230594000,1176447000,1116529000,UOS.AX
otherLiab,26153000,40996000,42555000,56404000,UOS.AX
goodWill,133000,133000,133000,133000,UOS.AX
treasuryStock,-34795000,87036000,60730000,-45895000,UOS.AX
otherAssets,1347023000,1368758000,1202788000,1112450000,UOS.AX
cash,629848000,407294000,322558000,277201000,UOS.AX
totalCurrentLiabilities,417329000,315839000,354416000,387196000,UOS.AX
deferredLongTermAssetCharges,19536000,20363000,15911000,12775000,UOS.AX
shortLongTermDebt,228679000,116889000,122760000,158766000,UOS.AX
otherStockholderEquity,-34795000,87036000,60730000,-45895000,UOS.AX
propertyPlantEquipment,141900000,160148000,143779000,99402000,UOS.AX
totalCurrentAssets,1262065000,1158142000,1233557000,1125435000,UOS.AX
longTermInvestments,8708000,7981000,3239000,4220000,UOS.AX
netTangibleAssets,1520637000,1574972000,1459954000,1253746000,UOS.AX
shortTermInvestments,9885000,11816000,18622000,17350000,UOS.AX
netReceivables,175846000,205626000,300457000,254206000,UOS.AX
longTermDebt,21552000,13324000,4363000,8852000,UOS.AX
inventory,442161000,521302000,571293000,558997000,UOS.AX
accountsPayable,81899000,82277000,122829000,148402000,UOS.AX
