Breakdown,2020-12-31 00:00:00,2019-12-31 00:00:00,2018-12-31 00:00:00,2017-12-31 00:00:00,ticker
investments,4775672,32948852,-2388643,-11973097,URF.AX
changeToLiabilities,4374077,-37513183,7348094,-18465235,URF.AX
totalCashflowsFromInvestingActivities,85163891,34436143,-59317366,-124680333,URF.AX
netBorrowings,-66832900,-3031078,46178483,195363160,URF.AX
totalCashFromFinancingActivities,-78048276,-27069610,10300780,236085902,URF.AX
changeToOperatingActivities,407280,-419134,-93773,-61780,URF.AX
netIncome,-95519724,-154512952,-28135040,-13218799,URF.AX
changeInCash,-11154848,-21117708,-75806035,59586678,URF.AX
effectOfExchangeRate,-5450387,731076,5662205,-8967544,URF.AX
totalCashFromOperatingActivities,-12820076,-29215317,-32451654,-42851347,URF.AX
depreciation,629316,1116334,240238,240238,URF.AX
otherCashflowsFromInvestingActivities,-5755876,-5583278,-3581286,-1857444,URF.AX
dividendsPaid,-10143689,-21748629,-22419376,-16361781,URF.AX
changeToAccountReceivables,-921490,-227938,171042,-336755,URF.AX
otherCashflowsFromFinancingActivities,-1071687,-2289903,-13458327,-10969577,URF.AX
changeToNetincome,78210465,162341556,-11982215,-10768778,URF.AX
