Breakdown,Value,ticker
zip,75772,URW.AX
sector,Real Estate,URW.AX
fullTimeEmployees,2999,URW.AX
compensationRisk,2,URW.AX
auditRisk,1,URW.AX
longBusinessSummary,"Unibail-Rodamco-Westfield is the premier global developer and operator of Flagship Destinations, with a portfolio valued at Â58.3 Bn as at September 30, 2020, of which 86% in retail, 7% in offices, 5% in convention & exhibition venues and 2% in services. Currently, the Group owns and operates 89 shopping centres, including 55 Flagships in the most dynamic cities in Europe and the United States. Its centres welcome 1.2 billion visits per year. Present on two continents and in 12 countries, Unibail-Rodamco-Westfield provides a unique platform for retailers and brand events and offers an exceptional and constantly renewed experience for customers. With the support of its 3,400 professionals and an unparalleled track-record and know-how, Unibail-Rodamco-Westfield is ideally positioned to generate superior value and develop world-class projects. Unibail-Rodamco-Westfield distinguishes itself by its Better Places 2030 agenda, that sets its ambition to create better places that respect the highest environmental standards and contribute to better cities. Unibail-Rodamco-Westfield stapled shares are listed on Euronext Amsterdam and Euronext Paris (Euronext ticker: URW), with a secondary listing in Australia through Chess Depositary Interests. The Group benefits from an A- rating from Standard & Poor's and from a Baa1 rating from Moody's.",URW.AX
city,Paris,URW.AX
phone,33 1 53 43 74 37,URW.AX
shareHolderRightsRisk,1,URW.AX
compensationAsOfEpochDate,1546214400,URW.AX
governanceEpochDate,1632614400,URW.AX
boardRisk,1,URW.AX
country,France,URW.AX
website,https://www.urw.com,URW.AX
maxAge,86400,URW.AX
overallRisk,1,URW.AX
address1,7 place du Chancelier Adenauer,URW.AX
industry,REIT—Retail,URW.AX
address2,CS 31622 Cedex 16,URW.AX
