Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,2018-06-30 00:00:00,ticker
researchDevelopment,,,,,VEE.AX
effectOfAccountingCharges,,,,,VEE.AX
incomeBeforeTax,5908164,3239764,2141870,2908271,VEE.AX
minorityInterest,,,,,VEE.AX
netIncome,4911175,2470261,2554705,2756918,VEE.AX
sellingGeneralAdministrative,21526837,18718709,21877767,14812315,VEE.AX
grossProfit,32132096,26138644,27653947,21568662,VEE.AX
ebit,5448248,2578453,2661273,3683889,VEE.AX
operatingIncome,5448248,2578453,2661273,3683889,VEE.AX
otherOperatingExpenses,1519702,1446547,1361915,1464820,VEE.AX
interestExpense,-720179,-871828,-495738,-436889,VEE.AX
extraordinaryItems,,,,,VEE.AX
nonRecurring,,,,,VEE.AX
otherItems,,,,,VEE.AX
incomeTaxExpense,996989,769503,-412835,151353,VEE.AX
totalRevenue,59538617,44368072,44960414,40712292,VEE.AX
totalOperatingExpenses,54090369,41789619,42299141,37028403,VEE.AX
costOfRevenue,27406521,18229428,17306467,19143630,VEE.AX
totalOtherIncomeExpenseNet,459916,661311,-519403,-775618,VEE.AX
discontinuedOperations,,,,,VEE.AX
netIncomeFromContinuingOps,4911175,2470261,2554705,2756918,VEE.AX
netIncomeApplicableToCommonShares,4911175,2470261,2554705,2756918,VEE.AX
