Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,2018-06-30 00:00:00,ticker
researchDevelopment,,,,,VRS.AX
effectOfAccountingCharges,,,,,VRS.AX
incomeBeforeTax,-1380000,-18623000,-43440000,-1927000,VRS.AX
minorityInterest,,,,,VRS.AX
netIncome,-1380000,-26493000,-40089000,-1304000,VRS.AX
sellingGeneralAdministrative,4181000,4287000,4287000,4287000,VRS.AX
grossProfit,17246000,16836000,4100000,11189000,VRS.AX
ebit,-4982000,-18066000,-4391000,2477000,VRS.AX
operatingIncome,-4982000,-18066000,-4391000,2477000,VRS.AX
otherOperatingExpenses,9847000,16773000,16773000,16773000,VRS.AX
interestExpense,-1677000,-2072000,-1324000,-1024000,VRS.AX
extraordinaryItems,,,,,VRS.AX
nonRecurring,,,,,VRS.AX
otherItems,,,,,VRS.AX
incomeTaxExpense,0,4587000,-2797000,-871000,VRS.AX
totalRevenue,99561000,94105000,107558000,106834000,VRS.AX
totalOperatingExpenses,104543000,112171000,111949000,104357000,VRS.AX
costOfRevenue,82315000,77269000,103458000,95645000,VRS.AX
totalOtherIncomeExpenseNet,3602000,-557000,-39049000,-4404000,VRS.AX
discontinuedOperations,,-3283000.0,554000.0,-248000.0,VRS.AX
netIncomeFromContinuingOps,-1380000,-23210000,-40643000,-1056000,VRS.AX
netIncomeApplicableToCommonShares,-1380000,-26493000,-40089000,-1304000,VRS.AX
