Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,2018-06-30 00:00:00,ticker
intangibleAssets,1676000.0,2513000.0,3135876.0,1284896.0,VSL.AX
totalLiab,428336000.0,421346000.0,255135864.0,227694021.0,VSL.AX
totalStockholderEquity,154117000.0,134970000.0,133976644.0,126533753.0,VSL.AX
otherCurrentLiab,13761000.0,5149000.0,19243086.0,46901300.0,VSL.AX
totalAssets,582453000.0,556316000.0,395716330.0,359725202.0,VSL.AX
commonStock,11988000.0,11862000.0,11588288.0,11588288.0,VSL.AX
otherCurrentAssets,1227000.0,,,2020012.0,VSL.AX
retainedEarnings,137383000.0,120551000.0,121319519.0,108637091.0,VSL.AX
goodWill,11626000.0,11611000.0,11507360.0,9305287.0,VSL.AX
treasuryStock,4746000.0,2557000.0,1068837.0,6308374.0,VSL.AX
otherAssets,7255000.0,5384000.0,745232.0,5530580.0,VSL.AX
cash,10163000.0,14196000.0,4661563.0,4394807.0,VSL.AX
totalCurrentLiabilities,166733000.0,126434000.0,148129766.0,170300775.0,VSL.AX
deferredLongTermAssetCharges,7255000.0,4631000.0,,3100062.0,VSL.AX
otherStockholderEquity,4746000.0,2557000.0,1068837.0,6308374.0,VSL.AX
propertyPlantEquipment,230833000.0,237668000.0,67949178.0,55532850.0,VSL.AX
totalCurrentAssets,331063000.0,299140000.0,312378684.0,278280488.0,VSL.AX
netTangibleAssets,140815000.0,120846000.0,119333408.0,115943570.0,VSL.AX
netReceivables,128130000.0,95724000.0,105827914.0,104646473.0,VSL.AX
longTermDebt,80000000.0,124337000.0,106965877.0,57393246.0,VSL.AX
inventory,191532000.0,189180000.0,201868656.0,166351346.0,VSL.AX
accountsPayable,124002000.0,95192000.0,90323164.0,92990407.0,VSL.AX
minorityInterest,,,6603822.0,5497428.0,VSL.AX
otherLiab,,,40221.0,,VSL.AX
shortLongTermDebt,,,24873474.0,17156863.0,VSL.AX
longTermInvestments,,,,9791101.0,VSL.AX
