Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,2018-06-30 00:00:00,ticker
changeToLiabilities,39030000.0,0.0,0.0,0.0,VSL.AX
totalCashflowsFromInvestingActivities,-822000.0,-32207000.0,-9012760.0,-31512949.0,VSL.AX
netBorrowings,-56583000.0,-15011000.0,46665671.0,25434476.0,VSL.AX
totalCashFromFinancingActivities,-108703000.0,-29737000.0,-13649043.0,10477622.0,VSL.AX
issuanceOfStock,880000.0,274000.0,274000.0,274000.0,VSL.AX
netIncome,64832000.0,28687000.0,36057785.0,41683375.0,VSL.AX
changeInCash,-4033000.0,9534000.0,266756.0,933718.0,VSL.AX
effectOfExchangeRate,38000.0,204000.0,-108344.0,49977.0,VSL.AX
totalCashFromOperatingActivities,105454000.0,71274000.0,23036903.0,21919068.0,VSL.AX
depreciation,29442000.0,30723000.0,9316769.0,7618417.0,VSL.AX
otherCashflowsFromInvestingActivities,3000000.0,3000000.0,320034.0,325450.0,VSL.AX
dividendsPaid,-53000000.0,-15000000.0,-62000000.0,-16000000.0,VSL.AX
changeToInventory,-2352000.0,-2352000.0,-2352000.0,-2352000.0,VSL.AX
changeToAccountReceivables,-32377000.0,-32377000.0,-32377000.0,-32377000.0,VSL.AX
changeToNetincome,-3591000.0,11271000.0,-23106836.0,-28260994.0,VSL.AX
capitalExpenditures,-5661000.0,-4968000.0,-15524609.0,-14709217.0,VSL.AX
investments,,,1066780.0,1627251.0,VSL.AX
otherCashflowsFromFinancingActivities,,,1685286.0,1043146.0,VSL.AX
