Breakdown,2020-12-31 00:00:00,2019-12-31 00:00:00,2018-12-31 00:00:00,2017-12-31 00:00:00,ticker
changeToLiabilities,50000,139000,-24000,-207000,VTI.AX
totalCashflowsFromInvestingActivities,-24000,-1000,-17000,-205000,VTI.AX
netBorrowings,1035000,3000000,3000000,3000000,VTI.AX
totalCashFromFinancingActivities,7021000,7296000,6255000,23395000,VTI.AX
changeToOperatingActivities,-1070000,87000,404000,1061000,VTI.AX
issuanceOfStock,6569000,4697000,6746000,23904000,VTI.AX
netIncome,-9239000,-12617000,-16735000,-16981000,VTI.AX
changeInCash,489000,-5356000,-9309000,10910000,VTI.AX
totalCashFromOperatingActivities,-6508000,-12651000,-15547000,-12280000,VTI.AX
depreciation,133000,68000,76000,45000,VTI.AX
changeToInventory,1661000,-189000,-95000,-851000,VTI.AX
changeToAccountReceivables,-109000,-340000,-253000,-212000,VTI.AX
otherCashflowsFromFinancingActivities,-583000,-401000,-491000,-509000,VTI.AX
changeToNetincome,2029000,179000,1080000,4419000,VTI.AX
capitalExpenditures,-1000,-1000,-10000,-158000,VTI.AX
