Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,2018-06-30 00:00:00,ticker
totalLiab,6210400.0,2640810.0,2605378.0,4110789.0,WAA.AX
totalStockholderEquity,76535625.0,45227618.0,48342728.0,45101455.0,WAA.AX
otherCurrentLiab,348832.0,119568.0,355815.0,851188.0,WAA.AX
totalAssets,82746025.0,47868428.0,50948106.0,49212244.0,WAA.AX
commonStock,76802356.0,48188359.0,47780906.0,42553037.0,WAA.AX
retainedEarnings,-266731.0,-2960741.0,561822.0,2548418.0,WAA.AX
otherLiab,8447.0,757764.0,10232.0,,WAA.AX
otherAssets,2035854.0,1952684.0,573086.0,46295.0,WAA.AX
cash,14922854.0,7495336.0,12145370.0,14274476.0,WAA.AX
totalCurrentLiabilities,6201953.0,1883046.0,2595146.0,4110789.0,WAA.AX
deferredLongTermAssetCharges,2035854.0,1952684.0,573086.0,46295.0,WAA.AX
totalCurrentAssets,80710171.0,45915744.0,50375020.0,49165949.0,WAA.AX
netTangibleAssets,76535625.0,45227618.0,48342728.0,45101455.0,WAA.AX
shortTermInvestments,63459801.0,36650348.0,36350037.0,32197006.0,WAA.AX
netReceivables,2327516.0,1770060.0,1879613.0,2694467.0,WAA.AX
accountsPayable,3837856.0,1657120.0,1319054.0,1281073.0,WAA.AX
