Breakdown,Value,ticker
zip,2000,WAM.AX
sector,Financial Services,WAM.AX
longBusinessSummary,"WAM Capital Limited is a close-ended equity mutual fund launched and managed by Wilson Asset Management (International) Pty Limited. The fund invests in public equity markets of Australia. It makes its investments in companies primarily engaged in the industrial sector. The fund invests in value and growth stocks of small to medium-cap companies. It seeks to invest in short-term arbitrage and mispricing opportunities. The fund has absolute returns focus. It employs fundamental and quantitative analysis with a focus on bottom-up approach to make its investments. The fund benchmarks the performance of its portfolio against the S&P/ASX All Ordinaries Accumulation Index. It conducts in-house research to create its portfolio. WAM Capital Limited was formed on March 8, 1999 and is domiciled in Australia.",WAM.AX
city,Sydney,WAM.AX
phone,61 2 9247 6755,WAM.AX
state,NSW,WAM.AX
country,Australia,WAM.AX
website,https://www.wamfunds.com.au/WAM-Capital/Tabs/Overview.aspx,WAM.AX
maxAge,86400,WAM.AX
address1,Level 26,WAM.AX
fax,61 2 9247 6855,WAM.AX
industry,Asset Management,WAM.AX
address2,Governor Phillip Tower 1 Farrer Place,WAM.AX
