Breakdown,2021-09-30 00:00:00,2020-09-30 00:00:00,2019-09-30 00:00:00,2018-09-30 00:00:00,ticker
investments,5263000000,-18260000000,-9739000000,-528000000,WBC.AX
changeToLiabilities,0,0,0,0,WBC.AX
totalCashflowsFromInvestingActivities,5623000000,-19477000000,-10769000000,-1620000000,WBC.AX
netBorrowings,-12900000000,-28974000000,1444000000,-5287000000,WBC.AX
totalCashFromFinancingActivities,18637000000,107000000,-2520000000,12836000000,WBC.AX
changeToOperatingActivities,-6533000000,29411000000,-2381000000,-27049000000,WBC.AX
issuanceOfStock,719000000,2765000000,7000000,76000000,WBC.AX
netIncome,5458000000,2290000000,6784000000,8095000000,WBC.AX
changeInCash,41224000000,10070000000,-6729000000,8002000000,WBC.AX
repurchaseOfStock,-71000000,-75000000,-102000000,-106000000,WBC.AX
effectOfExchangeRate,298000000,-301000000,569000000,944000000,WBC.AX
totalCashFromOperatingActivities,16673000000,29741000000,5991000000,-4158000000,WBC.AX
depreciation,923000000,957000000,360000000,418000000,WBC.AX
dividendsPaid,-2846000000,-2518000000,-4977000000,-5769000000,WBC.AX
otherCashflowsFromFinancingActivities,33735000000,28909000000,1108000000,23922000000,WBC.AX
changeToNetincome,-826000000,3189000000,558000000,1684000000,WBC.AX
capitalExpenditures,-234000000,-240000000,-280000000,-310000000,WBC.AX
