Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,2018-06-30 00:00:00,ticker
changeToLiabilities,-47509,678190,-142436,41811,WBT.AX
totalCashflowsFromInvestingActivities,-59040,-12434,-1654,-53740,WBT.AX
netBorrowings,-113901,-88134,-88134,-88134,WBT.AX
totalCashFromFinancingActivities,24718338,4443488,4061262,5169682,WBT.AX
changeToOperatingActivities,176307,-285014,-371626,-197805,WBT.AX
issuanceOfStock,26413471,5340000,4450000,5517336,WBT.AX
netIncome,-11259240,-4021457,-6693803,-4301869,WBT.AX
changeInCash,17610898,2444363,-1685836,1661660,WBT.AX
totalCashFromOperatingActivities,-7048400,-1986691,-5745444,-3454282,WBT.AX
depreciation,105977,107866,11814,9009,WBT.AX
otherCashflowsFromInvestingActivities,-37444,-692,43226,-46817,WBT.AX
changeToAccountReceivables,-94823,21428,336370,-478217,WBT.AX
otherCashflowsFromFinancingActivities,-1581232,-808378,-388738,-347654,WBT.AX
changeToNetincome,4070888,1512296,1114237,1472789,WBT.AX
capitalExpenditures,-21596,-11742,-44880,-6923,WBT.AX
