Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,2018-06-30 00:00:00,ticker
totalLiab,286006.0,236642.0,61493.0,44113.0,WC8.AX
totalStockholderEquity,6751731.0,7657296.0,2240315.0,2508622.0,WC8.AX
otherCurrentLiab,61795.0,40106.0,,,WC8.AX
totalAssets,7037737.0,7893938.0,2301808.0,2552735.0,WC8.AX
commonStock,37611326.0,37611326.0,31836017.0,31836017.0,WC8.AX
retainedEarnings,-31635174.0,-30711158.0,-29680404.0,-29327395.0,WC8.AX
treasuryStock,775579.0,757128.0,84702.0,,WC8.AX
cash,2995175.0,5353705.0,1978113.0,2339078.0,WC8.AX
totalCurrentLiabilities,253360.0,236642.0,61493.0,44113.0,WC8.AX
otherStockholderEquity,775579.0,757128.0,84702.0,,WC8.AX
propertyPlantEquipment,3828468.0,2454134.0,296963.0,189016.0,WC8.AX
totalCurrentAssets,3209269.0,5439804.0,2004845.0,2363719.0,WC8.AX
netTangibleAssets,6751731.0,7657296.0,2240315.0,2508622.0,WC8.AX
netReceivables,198988.0,73698.0,26732.0,24641.0,WC8.AX
accountsPayable,155478.0,186942.0,61493.0,44113.0,WC8.AX
