Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,2018-06-30 00:00:00,ticker
researchDevelopment,,,,,WES.AX
effectOfAccountingCharges,,,,,WES.AX
incomeBeforeTax,3373000000,2374000000,2799000000,2134000000,WES.AX
minorityInterest,,,,,WES.AX
netIncome,2380000000,1697000000,5510000000,1197000000,WES.AX
sellingGeneralAdministrative,6501000000,5871000000,6439000000,6090000000,WES.AX
grossProfit,12817000000,11330000000,10461000000,10247000000,WES.AX
ebit,3581000000,2787000000,2506000000,2544000000,WES.AX
operatingIncome,3581000000,2787000000,2506000000,2544000000,WES.AX
otherOperatingExpenses,1210000000,1120000000,979000000,1092000000,WES.AX
interestExpense,-324000000,-355000000,-156000000,-186000000,WES.AX
extraordinaryItems,,,,,WES.AX
nonRecurring,,,,,WES.AX
otherItems,,,,,WES.AX
incomeTaxExpense,993000000,752000000,859000000,725000000,WES.AX
totalRevenue,33941000000,30846000000,27920000000,26763000000,WES.AX
totalOperatingExpenses,30360000000,28059000000,25414000000,24219000000,WES.AX
costOfRevenue,21124000000,19516000000,17459000000,16516000000,WES.AX
totalOtherIncomeExpenseNet,-208000000,-413000000,293000000,-410000000,WES.AX
discontinuedOperations,,75000000.0,3570000000.0,-212000000.0,WES.AX
netIncomeFromContinuingOps,2380000000,1622000000,1940000000,1409000000,WES.AX
netIncomeApplicableToCommonShares,2380000000,1697000000,5510000000,1197000000,WES.AX
