Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,2018-06-30 00:00:00,ticker
changeToLiabilities,436462.0,-113562.0,-1505000.0,390000.0,WMA.AX
totalCashFromFinancingActivities,-8124832.0,-15226612.0,-18853000.0,36739000.0,WMA.AX
changeToOperatingActivities,-527473.0,2533170.0,1343000.0,-1044000.0,WMA.AX
netIncome,18019312.0,5132523.0,6713000.0,5035000.0,WMA.AX
changeInCash,-3452260.0,25262314.0,-1899000.0,9097000.0,WMA.AX
repurchaseOfStock,-473613.0,-5209532.0,-8473000.0,-2800000.0,WMA.AX
totalCashFromOperatingActivities,4672572.0,40488926.0,1782000.0,1765000.0,WMA.AX
dividendsPaid,-7650005.0,-10003730.0,-10380000.0,-8377000.0,WMA.AX
changeToAccountReceivables,1744133.0,-1162212.0,-159000.0,1394000.0,WMA.AX
otherCashflowsFromFinancingActivities,-1214.0,-13350.0,-13350.0,-977000.0,WMA.AX
changeToNetincome,-16716692.0,36015963.0,-6403000.0,-3383000.0,WMA.AX
investments,,,15172000.0,-29407000.0,WMA.AX
totalCashflowsFromInvestingActivities,,,15172000.0,-29407000.0,WMA.AX
issuanceOfStock,,,,48893000.0,WMA.AX
