Breakdown,Value,ticker
zip,4000,WMA.AX
sector,Financial Services,WMA.AX
longBusinessSummary,"Blue Sky Alternatives Access Fund Ltd specializes in investments in venture capital, private equity, private real estate including infrastructure, commodities, farmland, agricultural water entitlements, and real assets such as water rights.",WMA.AX
city,Brisbane,WMA.AX
phone,61 7 3505 6222,WMA.AX
state,QLD,WMA.AX
compensationAsOfEpochDate,1419984000,WMA.AX
country,Australia,WMA.AX
maxAge,86400,WMA.AX
address1,241 Adelaide Street,WMA.AX
industry,Asset Management,WMA.AX
address2,Level 10 Suite A,WMA.AX
