Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,2018-06-30 00:00:00,ticker
changeToLiabilities,460649.0,262235.0,-46084.0,98703.0,WML.AX
totalCashflowsFromInvestingActivities,-1401046.0,-1362922.0,-722438.0,-611876.0,WML.AX
netBorrowings,-82489.0,-53087.0,-4404.0,-35097.0,WML.AX
totalCashFromFinancingActivities,4058430.0,1227497.0,-4404.0,3963572.0,WML.AX
changeToOperatingActivities,-33986.0,13097.0,17849.0,10165.0,WML.AX
issuanceOfStock,4597112.0,1486799.0,1486799.0,4342870.0,WML.AX
netIncome,-1402598.0,-911908.0,-779300.0,-4331541.0,WML.AX
changeInCash,2250248.0,-527362.0,-1525825.0,2098096.0,WML.AX
totalCashFromOperatingActivities,-407136.0,-391937.0,-798983.0,-1253600.0,WML.AX
depreciation,270030.0,53282.0,45027.0,210.0,WML.AX
otherCashflowsFromInvestingActivities,40910.0,325007.0,31085.0,2.0,WML.AX
changeToAccountReceivables,-74131.0,96123.0,-19382.0,-109559.0,WML.AX
otherCashflowsFromFinancingActivities,-456193.0,-206215.0,-206215.0,-344201.0,WML.AX
changeToNetincome,372900.0,95234.0,-17093.0,3078422.0,WML.AX
capitalExpenditures,-1441956.0,-687929.0,-1272750.0,-611878.0,WML.AX
investments,,,519227.0,519227.0,WML.AX
