Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,2018-06-30 00:00:00,ticker
changeToLiabilities,6160459.0,-2222758.0,6482002.0,2826231.0,WSI.AX
totalCashflowsFromInvestingActivities,-3070628.0,742038.0,-168376.0,-121864.0,WSI.AX
netBorrowings,-445696.0,-115376.0,429982.0,220019.0,WSI.AX
totalCashFromFinancingActivities,-562661.0,-140847.0,2576008.0,410019.0,WSI.AX
changeToOperatingActivities,1038426.0,-6179924.0,2912475.0,262895.0,WSI.AX
netIncome,837477.0,3458055.0,984287.0,-3067725.0,WSI.AX
changeInCash,6510195.0,-3426237.0,8356474.0,152611.0,WSI.AX
totalCashFromOperatingActivities,10143484.0,-4027428.0,5948842.0,-135544.0,WSI.AX
depreciation,1411634.0,586978.0,157867.0,147950.0,WSI.AX
otherCashflowsFromInvestingActivities,-2964319.0,-2964319.0,-91628.0,-158392.0,WSI.AX
changeToAccountReceivables,-1229014.0,-995529.0,-4541671.0,-1297093.0,WSI.AX
otherCashflowsFromFinancingActivities,-116965.0,-25471.0,-42774.0,-750000.0,WSI.AX
changeToNetincome,1924502.0,1325750.0,-46118.0,992198.0,WSI.AX
capitalExpenditures,-262056.0,-135728.0,-76748.0,-43105.0,WSI.AX
investments,,66911.0,66911.0,66911.0,WSI.AX
issuanceOfStock,,,2188800.0,940000.0,WSI.AX
