Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,2018-06-30 00:00:00,ticker
researchDevelopment,128900000,115400000,84200000,53372000,WTC.AX
effectOfAccountingCharges,,,,,WTC.AX
incomeBeforeTax,148000000,181800000,76400000,57152000,WTC.AX
minorityInterest,,,,419000.0,WTC.AX
netIncome,108100000,160800000,54100000,40799000,WTC.AX
sellingGeneralAdministrative,134800000,148700000,112500000,65917000,WTC.AX
grossProfit,421900000,345900000,281600000,182926000,WTC.AX
ebit,158200000,81800000,84900000,63637000,WTC.AX
operatingIncome,158200000,81800000,84900000,63637000,WTC.AX
otherOperatingExpenses,,,,,WTC.AX
interestExpense,-4200000,-12700000,-7300000,-2676000,WTC.AX
extraordinaryItems,,,,,WTC.AX
nonRecurring,,,,,WTC.AX
otherItems,,,,,WTC.AX
incomeTaxExpense,39900000,21000000,22300000,16358000,WTC.AX
totalRevenue,507500000,429400000,348300000,221598000,WTC.AX
totalOperatingExpenses,349300000,347600000,263400000,157961000,WTC.AX
costOfRevenue,85600000,83500000,66700000,38672000,WTC.AX
totalOtherIncomeExpenseNet,-10200000,100000000,-8500000,-6485000,WTC.AX
discontinuedOperations,,,,,WTC.AX
netIncomeFromContinuingOps,108100000,160800000,54100000,40794000,WTC.AX
netIncomeApplicableToCommonShares,108100000,160800000,54100000,40799000,WTC.AX
