Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,2018-06-30 00:00:00,ticker
totalLiab,2568000.0,4945000.0,5119000.0,2663000.0,WWI.AX
totalStockholderEquity,18846000.0,13084000.0,14072000.0,20612000.0,WWI.AX
minorityInterest,-5924000.0,-5941000.0,-5385000.0,-1489000.0,WWI.AX
otherCurrentLiab,103000.0,154000.0,495000.0,,WWI.AX
totalAssets,15490000.0,12088000.0,13806000.0,21786000.0,WWI.AX
commonStock,45239000.0,38406000.0,36963000.0,36089000.0,WWI.AX
retainedEarnings,-24455000.0,-24115000.0,-22447000.0,-14485000.0,WWI.AX
otherLiab,59000.0,65000.0,65000.0,20000.0,WWI.AX
treasuryStock,-1938000.0,-1207000.0,-444000.0,-992000.0,WWI.AX
cash,973000.0,1202000.0,175000.0,1068000.0,WWI.AX
totalCurrentLiabilities,2509000.0,3140000.0,5054000.0,2643000.0,WWI.AX
otherStockholderEquity,-1938000.0,-1207000.0,-444000.0,-992000.0,WWI.AX
propertyPlantEquipment,14245000.0,10852000.0,11763000.0,20197000.0,WWI.AX
totalCurrentAssets,1245000.0,1236000.0,1915000.0,1417000.0,WWI.AX
netTangibleAssets,18846000.0,13084000.0,13957000.0,20502000.0,WWI.AX
netReceivables,262000.0,32000.0,1740000.0,349000.0,WWI.AX
accountsPayable,1184000.0,1389000.0,3305000.0,1453000.0,WWI.AX
longTermDebt,,1740000.0,,,WWI.AX
goodWill,,,115000.0,110000.0,WWI.AX
otherAssets,,,13000.0,62000.0,WWI.AX
