Breakdown,Value,ticker
zip,2009,XPN.AX
sector,Technology,XPN.AX
longBusinessSummary,"XPON Technologies Group Limited provides software solutions to corporate and mid-tier enterprises in Australia, New Zealand, the United Kingdom, and Europe. The company offers Wondaris, a data platform for marketers; and Holoscribe, an extended reality platform. It also provides application modernization, enterprise cloud and marketing technology, data and analytics, machine learning and artificial intelligence, and digital solutions. The company was incorporated in 2019 and is based in Sydney, Australia.",XPN.AX
city,Sydney,XPN.AX
state,NSW,XPN.AX
country,Australia,XPN.AX
website,https://www.xpon.ai,XPN.AX
maxAge,86400,XPN.AX
address1,100 Harris Street,XPN.AX
industry,Software—Infrastructure,XPN.AX
