Breakdown,Value,ticker
zip,92008-6583,ZBT.AX
sector,Financial Services,ZBT.AX
longBusinessSummary,"Zebit, Inc. operates as an e-commerce company in the United States. It offers a range of products through its website, zebit.com. The company was founded in 2015 and is based in Carlsbad, California.",ZBT.AX
city,Carlsbad,ZBT.AX
phone,866 595 6048,ZBT.AX
state,CA,ZBT.AX
compensationAsOfEpochDate,1609372800,ZBT.AX
country,United States,ZBT.AX
website,https://zebit.com,ZBT.AX
maxAge,86400,ZBT.AX
address1,1902 Wright Place,ZBT.AX
industry,Credit Services,ZBT.AX
address2,Cornerstone Corporate Center 2nd Floor Office 207,ZBT.AX
