Breakdown,2021-03-31 00:00:00,2020-03-31 00:00:00,2019-03-31 00:00:00,2018-03-31 00:00:00,ticker
intangibleAssets,497000000.0,628000000.0,475000000.0,592000000.0,ZEL.AX
totalLiab,1942000000.0,2443000000.0,1927000000.0,1948000000.0,ZEL.AX
totalStockholderEquity,1013000000.0,600000000.0,902000000.0,857000000.0,ZEL.AX
minorityInterest,-2000000.0,2000000.0,18000000.0,,ZEL.AX
otherCurrentLiab,372000000.0,356000000.0,264000000.0,229000000.0,ZEL.AX
totalAssets,2953000000.0,3045000000.0,2847000000.0,2805000000.0,ZEL.AX
commonStock,767000000.0,430000000.0,429000000.0,429000000.0,ZEL.AX
otherCurrentAssets,78000000.0,36000000.0,36000000.0,13000000.0,ZEL.AX
retainedEarnings,44000000.0,-17000000.0,238000000.0,188000000.0,ZEL.AX
otherLiab,199000000.0,184000000.0,257000000.0,252000000.0,ZEL.AX
goodWill,158000000.0,158000000.0,193000000.0,158000000.0,ZEL.AX
treasuryStock,202000000.0,187000000.0,235000000.0,240000000.0,ZEL.AX
otherAssets,51000000.0,169000000.0,20000000.0,8000000.0,ZEL.AX
cash,162000000.0,19000000.0,111000000.0,72000000.0,ZEL.AX
totalCurrentLiabilities,859000000.0,942000000.0,867000000.0,950000000.0,ZEL.AX
shortLongTermDebt,169000000.0,70000000.0,135000000.0,150000000.0,ZEL.AX
otherStockholderEquity,202000000.0,187000000.0,235000000.0,240000000.0,ZEL.AX
propertyPlantEquipment,1096000000.0,1101000000.0,830000000.0,870000000.0,ZEL.AX
totalCurrentAssets,1109000000.0,941000000.0,1224000000.0,1064000000.0,ZEL.AX
longTermInvestments,42000000.0,48000000.0,105000000.0,113000000.0,ZEL.AX
netTangibleAssets,358000000.0,-186000000.0,234000000.0,107000000.0,ZEL.AX
netReceivables,299000000.0,321000000.0,499000000.0,337000000.0,ZEL.AX
longTermDebt,601000000.0,1032000000.0,803000000.0,746000000.0,ZEL.AX
inventory,570000000.0,565000000.0,578000000.0,642000000.0,ZEL.AX
accountsPayable,302000000.0,502000000.0,468000000.0,571000000.0,ZEL.AX
